type	latitude	longitude	altitude (m)	eos	name	desc
T	22.265222100	114.001701400	1.2		鳳凰徑	梅窩 > 大澳 > 梅窩
T	22.265298900	114.001600000	1.1			
T	22.265323600	114.001562700	1.2			
T	22.265360900	114.001500700	1.2			
T	22.265395000	114.001436600	1.1			
T	22.265425900	114.001370600	1.0			
T	22.265453500	114.001302900	1.0			
T	22.265461500	114.001281100	1.0			
T	22.265485900	114.001207100	1.0			
T	22.265506300	114.001131700	1.0			
T	22.265514400	114.001096100	1.1			
T	22.265521700	114.001060300	1.2			
T	22.265525600	114.001038900	1.3			
T	22.265540000	114.000934700	1.7			
T	22.265549600	114.000832100	2.0			
T	22.265573000	114.000796000	2.8			
T	22.265589400	114.000755700	3.6			
T	22.265598300	114.000712800	4.5			
T	22.265597400	114.000650500	5.8			
T	22.265580700	114.000590900	7.1			
T	22.265549700	114.000538500	8.4			
T	22.265523300	114.000510600	8.8			
T	22.265492900	114.000488100	9.1			
T	22.265459200	114.000471800	9.3			
T	22.265423400	114.000462100	9.2			
T	22.265386600	114.000459400	9.0			
T	22.265349700	114.000464300	8.6			
T	22.265295100	114.000447300	8.6			
T	22.265239800	114.000433300	9.6			
T	22.265184000	114.000422300	10.9			
T	22.265102900	114.000411700	12.4			
T	22.265021200	114.000407400	13.7			
T	22.264324300	114.000354000	19.0			
T	22.264255300	114.000343100	18.1			
T	22.264209100	114.000327600	17.7			
T	22.264159200	114.000302300	17.3			
T	22.264118300	114.000274500	17.3			
T	22.264074200	114.000228900	18.6			
T	22.264034400	114.000174700	20.1			
T	22.264015500	114.000137900	21.2			
T	22.263998700	114.000096900	22.5			
T	22.263982200	114.000039700	24.4			
T	22.263975800	114.000001200	25.8			
T	22.263973100	113.999956000	26.6			
T	22.263973800	113.999926200	27.2			
T	22.263976300	113.999886400	28.1			
T	22.263981600	113.999843000	29.2			
T	22.264020100	113.999626800	34.6			
T	22.264036600	113.999504500	36.8			
T	22.264041200	113.999437700	37.9			
T	22.264043400	113.999367200	39.3			
T	22.264039700	113.999295800	40.7			
T	22.264029800	113.999229500	41.8			
T	22.264007000	113.999119000	43.5			
T	22.263989300	113.999059700	44.3			
