type	latitude	longitude	altitude (m)	eos	name	desc
W	22.264061700	113.999904400	30.7		L001	
W	22.262662000	113.996936600	56.3		L002	
W	22.259961500	113.995226100	48.0		L003	
W	22.257602900	113.991447100	92.1		L004	
W	22.256379900	113.988108800	135.0		L005	
W	22.257982200	113.983911700	150.6		L006	
W	22.258005400	113.982144000	183.8		L007	
W	22.259272500	113.979832000	281.3		L008	
W	22.260998900	113.977218600	371.7		L009	
W	22.261145700	113.973084200	512.3		L010	
W	22.261196300	113.967368000	609.7		L011	
W	22.260933900	113.962994900	658.3		L012	
W	22.258410900	113.959956500	716.4		L013	
W	22.256555900	113.957112800	773.2		L014	
W	22.254392900	113.953235700	759.7		L015	
W	22.252068300	113.950408400	632.3		L016	
W	22.250645200	113.946334100	495.9		L017	
W	22.248196900	113.943045500	331.7		L018	
W	22.247597100	113.939212600	422.4		L019	
W	22.245717300	113.936625900	465.1		L020	
W	22.247947700	113.933786200	509.7		L021	
W	22.248856700	113.930745200	617.3		L022	
W	22.248908600	113.926062600	706.2		L023	
W	22.248756100	113.922060200	817.6		L024	
W	22.246758900	113.918104900	785.4		L025	
W	22.248585500	113.914432600	558.3		L026	
W	22.252720100	113.912300300	457.8		L027	
W	22.256370000	113.914079500	479.4		L028	
W	22.258072500	113.910871300	525.3		L029	
W	22.259760400	113.906803000	505.8		L030	
W	22.254199000	113.901505500	440.5		L031	
W	22.249936400	113.898622000	332.2		L032	
W	22.248437400	113.894655200	331.5		L033	
W	22.248785200	113.892740700	303.1		L034	
W	22.244691900	113.891707800	260.7		L035	
W	22.242815800	113.890116700	319.7		L036	
W	22.240226800	113.888439800	398.2		L037	
W	22.237528700	113.886424200	338.8		L038	
W	22.233107600	113.882451700	418.7		L039	
W	22.231758900	113.878774400	421.0		L040	
W	22.230654300	113.874083800	357.0		L041	
W	22.228152400	113.872738500	378.0		L042	
W	22.224021600	113.869769400	446.4		L043	
W	22.221457500	113.867590100	464.4		L044	
W	22.219790500	113.864551100	395.5		L045	
W	22.223587400	113.865240000	355.2		L046	
W	22.226557900	113.866798000	334.1		L047	
W	22.228711400	113.867585200	282.8		L048	
W	22.232156700	113.867433600	295.3		L049	
W	22.235060900	113.870297000	223.0		L050	
W	22.238923300	113.870565700	198.5		L051	
W	22.242564700	113.869846800	181.9		L052	
W	22.245324400	113.869100300	163.1		L053	
W	22.246675600	113.866701900	80.1		L054	
W	22.247943600	113.863593900	2.8		L055	
W	22.245909600	113.860495200	4.3		L056	
W	22.244687000	113.855780500	18.1		L057	
W	22.242930300	113.852024500	33.9		L058	
W	22.239927300	113.851864900	0.0		L059	
W	22.236347100	113.852815300	19.3		L060	
W	22.233447800	113.852707700	5.3		L061	
W	22.230664500	113.849994100	-0.9		L062	
W	22.221397100	113.845405600	35.6		L065	
W	22.218016200	113.843649400	23.1		L066	
W	22.213330100	113.843720000	9.4		L067	
W	22.210953800	113.845420900	47.2		L068	
W	22.207144000	113.847117000	44.6		L069	
W	22.203242800	113.849408900	1.0		L070	
W	22.203080600	113.853950500	32.6		L071	
W	22.204391700	113.858316300	74.5		L072	
W	22.207161100	113.860145700	82.9		L073	
W	22.211290700	113.861175100	125.1		L074	
W	22.209871300	113.864202500	99.0		L075	
W	22.207343100	113.867144000	95.2		L076	
W	22.210287600	113.869713500	99.3		L077	
W	22.211210100	113.872189500	92.6		L078	
W	22.214420200	113.874513800	83.4		L079	
W	22.215927000	113.877446400	74.8		L080	
W	22.218087800	113.879790600	77.7		L081	
W	22.220711800	113.880217400	83.3		L082	
W	22.223262300	113.880280300	76.6		L083	
W	22.224047100	113.884046500	94.6		L084	
W	22.225200400	113.887817300	72.3		L085	
W	22.225313200	113.890268300	79.9		L086	
W	22.228407800	113.890881000	69.9		L087	
W	22.227682500	113.894559800	50.4		L088	
W	22.225942900	113.898041400	58.7		L089	
W	22.220679400	113.899493800	10.2		L090	
W	22.217024600	113.900547400	27.4		L091	
W	22.215306500	113.903391000	43.2		L092	
W	22.212322100	113.904906200	32.4		L093	
W	22.210077100	113.907817900	43.4		L094	
W	22.209323300	113.911840300	47.9		L095	
W	22.212749700	113.913870600	42.5		L096	
W	22.212689000	113.916450000	43.2		L097	
W	22.217408900	113.915626400	43.6		L098	
W	22.220612700	113.913687900	16.7		L099	
W	22.221551600	113.917788700	13.4		L100	
W	22.224379700	113.914827900	70.8		L101	
W	22.226689700	113.916052800	104.2		L102	
W	22.227470000	113.919041100	103.1		L103	
W	22.228399500	113.922674100	103.5		L104	
W	22.230095000	113.925792500	101.7		L105	
W	22.233121100	113.926464400	107.4		L106	
W	22.234850400	113.929415500	105.9		L107	
W	22.231909400	113.931342400	107.7		L108	
W	22.231527600	113.934267100	107.9		L109	
W	22.232551100	113.938273900	110.0		L110	
W	22.233947300	113.941493900	106.3		L111	
W	22.236053800	113.943877000	101.3		L112	
W	22.238613700	113.945461800	111.7		L113	
W	22.239137700	113.949463200	114.3		L114	
W	22.238714600	113.953052900	119.8		L115	
W	22.239780700	113.956502300	111.3		L116	
W	22.241258100	113.960608300	117.2		L117	
W	22.243405700	113.964364700	125.6		L118	
W	22.244403100	113.967028200	120.1		L119	
W	22.244673200	113.969694600	136.0		L120	
W	22.244521900	113.972116900	69.1		L121	
W	22.242826100	113.976583900	5.5		L122	
W	22.242046000	113.980150700	0.9		L123	
W	22.238998300	113.982495500	8.7		L124	
W	22.236920700	113.983346100	19.2		L125	
W	22.238928000	113.987520800	44.2		L126	
W	22.242492600	113.985589000	165.3		L127	
W	22.245592000	113.987621200	192.6		L128	
W	22.249081400	113.989794800	255.1		L129	
W	22.251806200	113.990270200	214.5		L130	
W	22.254077900	113.992351100	212.9		L131	
W	22.253973100	113.995337900	110.3		L132	
W	22.256353100	113.998219000	104.1		L133	
W	22.253503000	114.001757900	99.8		L134	
W	22.254198100	114.005897000	92.9		L135	
W	22.253524300	114.009323800	41.7		L136	
W	22.256961600	114.007846900	22.6		L137	
W	22.259525200	114.006347200	16.5		L138	
W	22.262083200	114.001657200	5.1		L139	
