type	latitude	longitude	altitude (m)	eos	name	desc
T	22.400008700	114.323814700	5.9		麥理浩徑	北潭涌至屯門
T	22.400005900	114.323959800	6.6			
T	22.399965800	114.324254900	9.9			
T	22.399879600	114.324548800	13.6			
T	22.399731900	114.324755700	14.0			
T	22.399544100	114.324979200	18.4			
T	22.399353600	114.325157500	19.9			
T	22.399170400	114.325299400	20.3			
T	22.398957700	114.325441200	23.5			
T	22.398626700	114.325541700	30.0			
T	22.398343000	114.325589000	30.1			
T	22.398053400	114.325677600	29.7			
T	22.397757300	114.325866500	29.9			
T	22.397645700	114.325937600	31.0			
T	22.397466900	114.326081400	33.1			
T	22.397235200	114.326256400	37.6			
T	22.396998800	114.326436000	42.7			
T	22.396771800	114.326601500	48.0			
T	22.396464500	114.326904100	54.4			
T	22.396289600	114.327159400	56.6			
T	22.396109900	114.327476200	58.4			
T	22.395958600	114.327703100	63.7			
T	22.395902100	114.327928600	63.4			
T	22.395821500	114.328298300	65.4			
T	22.395789900	114.328657600	68.0			
T	22.395738000	114.328905100	70.8			
T	22.395677400	114.329184700	78.0			
T	22.395493900	114.329475400	86.3			
T	22.395170800	114.329868600	91.4			
T	22.395077300	114.330009400	91.6			
T	22.394924700	114.330186400	91.0			
T	22.394833400	114.330245300	90.2			
T	22.394739800	114.330307700	88.6			
T	22.394671400	114.330353300	88.0			
T	22.394610500	114.330489600	85.5			
T	22.394506000	114.330431100	87.3			
T	22.394355400	114.330533900	86.9			
T	22.394344800	114.330541100	87.0			
T	22.394215800	114.330584000	89.0			
T	22.393967800	114.330707400	92.2			
T	22.393738400	114.330916000	92.3			
T	22.393636400	114.330971200	93.6			
T	22.393534600	114.330997500	94.3			
T	22.393046900	114.331098300	94.1			
T	22.392474900	114.331329700	92.8			
T	22.392092600	114.331716400	93.9			
T	22.391973600	114.331866600	93.6			
T	22.391829800	114.331998000	91.5			
T	22.391711200	114.332079300	88.8			
T	22.391493100	114.332118600	90.9			
T	22.391319300	114.332241600	89.6			
T	22.391248000	114.332339600	87.6			
T	22.391001400	114.332488900	89.2			
T	22.390487400	114.332773100	82.9			
T	22.390049500	114.332987300	82.8			
T	22.389652700	114.333063700	91.0			
T	22.389607400	114.333115900	90.6			
T	22.389588200	114.333201800	88.3			
T	22.389518400	114.333673000	81.4			
T	22.389426500	114.333859500	78.1			
T	22.389367300	114.333946200	76.2			
T	22.389283400	114.333973100	76.4			
T	22.388993000	114.333968900	82.9			
T	22.388680500	114.334060100	91.0			
T	22.388427200	114.334252300	94.1			
T	22.388189100	114.334574200	89.1			
T	22.387956300	114.334961400	84.6			
T	22.387693100	114.335357400	77.5			
T	22.387346200	114.335739200	78.5			
T	22.386889900	114.335980600	78.9			
T	22.386269900	114.335986000	76.4			
T	22.385883000	114.336002100	75.3			
T	22.385747700	114.336005900	73.8			
T	22.385612400	114.335985500	72.8			
T	22.385538300	114.335932600	73.7			
T	22.385397700	114.335786700	76.4			
T	22.385272100	114.335706200	77.3			
T	22.384733400	114.335360900	79.4			
T	22.383988900	114.335024300	81.9			
T	22.383324400	114.334570600	82.2			
T	22.383156000	114.334473500	83.0			
T	22.382800400	114.334423500	80.8			
T	22.382674400	114.334470400	80.2			
T	22.382621700	114.334500700	79.9			
T	22.382561400	114.334570200	79.1			
T	22.382507500	114.334627100	78.6			
T	22.382471200	114.334676200	79.0			
T	22.382357200	114.334944800	80.7			
T	22.382159400	114.335253400	81.0			
T	22.381934300	114.335407200	77.8			
T	22.381661900	114.335534600	72.5			
T	22.381474000	114.335711200	67.5			
T	22.381180400	114.336136700	63.1			
T	22.380962100	114.336501500	58.5			
T	22.380644600	114.336930600	54.9			
T	22.380348500	114.337242300	54.4			
T	22.380222000	114.337346000	55.0			
T	22.380084400	114.337419200	55.5			
T	22.379827500	114.337484800	56.1			
T	22.379751800	114.337510000	56.2			
T	22.379248900	114.337689200	63.5			
T	22.379048000	114.337783000	67.0			
T	22.378885100	114.337894400	67.6			
T	22.378720500	114.338032200	70.3			
T	22.378636600	114.338184500	71.3			
T	22.378441800	114.338755300	67.2			
T	22.378392600	114.338855200	67.0			
T	22.378305800	114.338962700	67.8			
T	22.378252600	114.339011300	68.2			
T	22.378174000	114.339061900	68.7			
T	22.378135300	114.339082300	68.9			
T	22.377916200	114.339167700	68.5			
T	22.377740300	114.339221800	67.9			
T	22.377544800	114.339281800	67.4			
T	22.377408200	114.339282100	67.8			
T	22.377271600	114.339269500	68.6			
T	22.377182600	114.339234300	69.1			
T	22.377094900	114.339188600	69.2			
T	22.377008700	114.339126500	69.1			
T	22.376930500	114.339068100	68.9			
T	22.376881000	114.338997100	69.1			
T	22.376807700	114.338878000	70.2			
T	22.376721500	114.338836600	70.1			
T	22.376577900	114.338795200	69.1			
T	22.376459600	114.338816300	67.1			
T	22.376419900	114.338829200	66.3			
T	22.376312600	114.338872500	63.8			
T	22.375981800	114.339205200	57.5			
T	22.375513900	114.339641200	55.6			
T	22.374741900	114.340228800	56.5			
T	22.373807500	114.340834900	56.6			
T	22.373739700	114.340878900	56.6			
T	22.372750000	114.341417500	56.6			
T	22.371912800	114.341785400	54.6			
T	22.370924900	114.342120300	57.3			
T	22.370814500	114.342320700	61.2			
T	22.370846400	114.342656600	63.8			
T	22.370819400	114.342737200	65.4			
T	22.370652300	114.342991700	71.5			
T	22.370320900	114.343494300	76.3			
T	22.370285200	114.343582200	75.5			
T	22.370265700	114.343656900	75.1			
T	22.370113900	114.343839400	76.5			
T	22.369797300	114.343801000	81.8			
T	22.369630100	114.343826300	84.2			
T	22.369353000	114.344150100	82.3			
T	22.369176200	114.344213800	81.2			
T	22.368654200	114.344116900	80.9			
T	22.368530700	114.344177600	81.0			
T	22.368433700	114.344336000	80.5			
T	22.368422400	114.344501500	78.6			
T	22.368294600	114.344755300	77.2			
T	22.367910900	114.345427900	75.2			
T	22.367758200	114.345569800	77.4			
T	22.367539400	114.345596300	85.9			
T	22.367231200	114.345878500	92.2			
T	22.366854200	114.346500800	90.4			
T	22.366307700	114.346836100	105.2			
T	22.366100000	114.347165000	97.0			
T	22.366034300	114.347224400	96.7			
T	22.365373600	114.347530700	106.9			
T	22.364973200	114.347604100	111.0			
T	22.364519800	114.347612600	121.5			
T	22.364406100	114.347786000	120.0			
T	22.364406000	114.348065400	112.9			
T	22.364516600	114.348300200	106.7			
T	22.364498300	114.348606200	105.9			
T	22.364400000	114.348735000	109.5			
T	22.363966400	114.349011000	122.4			
T	22.363617100	114.349227200	126.6			
T	22.363272400	114.349376700	131.8			
T	22.362924300	114.349468400	134.0			
T	22.362694000	114.349599800	131.5			
T	22.362641500	114.349692900	129.7			
T	22.362367100	114.350044800	127.9			
T	22.362170700	114.350323400	125.5			
T	22.361763400	114.350482900	115.3			
T	22.361625500	114.350829800	115.8			
T	22.361605700	114.350870600	115.3			
T	22.361586100	114.350906900	114.8			
T	22.361561300	114.350948000	114.1			
T	22.361396500	114.351201900	109.5			
T	22.361382800	114.351225700	109.0			
T	22.361370400	114.351254100	108.4			
T	22.361360500	114.351282900	107.9			
T	22.361354300	114.351318900	107.4			
T	22.361353000	114.351356700	107.2			
T	22.361356100	114.351397400	106.8			
T	22.361363900	114.351435700	106.1			
T	22.361379400	114.351475800	105.6			
T	22.361397300	114.351503000	105.3			
T	22.361419900	114.351527900	105.0			
T	22.361444600	114.351549400	104.8			
T	22.361474200	114.351570800	104.8			
T	22.361503300	114.351586600	104.8			
T	22.361536200	114.351600400	104.9			
T	22.361569900	114.351609600	105.2			
T	22.361623200	114.351618800	105.7			
T	22.361776600	114.351637300	107.8			
T	22.361808000	114.351643000	108.2			
T	22.361825700	114.351648400	108.4			
T	22.361841100	114.351656100	108.4			
T	22.361860400	114.351668100	108.4			
T	22.361881000	114.351684800	108.4			
T	22.361904900	114.351708800	108.2			
T	22.361928100	114.351735800	107.9			
T	22.361949800	114.351765100	107.7			
T	22.361960600	114.351784100	107.5			
T	22.361970500	114.351807000	107.3			
T	22.361977300	114.351827600	107.0			
T	22.361981300	114.351849100	106.7			
T	22.361982900	114.351871000	106.2			
T	22.361981000	114.352057500	102.9			
T	22.361950600	114.352488600	98.2			
T	22.361995600	114.352606600	98.7			
T	22.362084400	114.352756200	99.3			
T	22.362084900	114.352901900	97.5			
T	22.362026200	114.353008500	95.4			
T	22.361906000	114.353067000	93.4			
T	22.361674900	114.353013100	88.7			
T	22.361483700	114.353118800	85.8			
T	22.361443400	114.353239300	86.6			
T	22.361441700	114.353385700	86.9			
T	22.361923200	114.353990100	85.0			
T	22.362020700	114.354106400	82.5			
T	22.362216100	114.354168600	81.0			
T	22.362632000	114.354046200	80.0			
T	22.362851300	114.354066500	79.1			
T	22.363032500	114.354236000	80.5			
T	22.363122100	114.354506800	84.4			
T	22.363232500	114.355136400	91.4			
T	22.363381600	114.355362800	94.6			
T	22.363714200	114.355595000	91.3			
T	22.363796900	114.355929300	87.4			
T	22.363748700	114.356235900	86.9			
T	22.363465900	114.356728600	88.2			
T	22.363032600	114.357311200	86.1			
T	22.362553100	114.357882500	92.3			
T	22.362433400	114.358100700	89.7			
T	22.362116800	114.358453600	89.5			
T	22.361816400	114.358785100	89.0			
T	22.361129800	114.359138100	87.1			
T	22.360545400	114.359432300	87.7			
T	22.359952100	114.359595400	89.5			
T	22.359739900	114.359724900	90.4			
T	22.359548200	114.359881100	89.0			
T	22.359452400	114.360147800	84.4			
T	22.359481500	114.360346100	82.7			
T	22.359613100	114.360606700	85.5			
T	22.359624900	114.360823400	86.2			
T	22.359518800	114.361007100	84.5			
T	22.359230100	114.361200100	81.4			
T	22.359012200	114.361896500	83.3			
T	22.359029400	114.362066200	83.2			
T	22.359114600	114.362195000	83.5			
T	22.359583100	114.362397100	82.0			
T	22.359726100	114.362535700	79.6			
T	22.359736300	114.362742800	77.4			
T	22.359550300	114.363168600	72.6			
T	22.359545400	114.363439500	72.6			
T	22.359650500	114.363770500	75.4			
