type	latitude	longitude	altitude (m)	eos	name	desc
W	22.396535400	114.326816100	53.8		M001	
W	22.394505300	114.330375100	88.8		M002	
W	22.390485400	114.332817400	81.4		M003	
W	22.387323800	114.335804200	76.4		M004	
W	22.383528400	114.334797300	80.2		M005	
W	22.380393300	114.337208900	54.4		M006	
W	22.377544900	114.339283100	67.3		M007	
W	22.373018700	114.341256500	55.5		M008	
W	22.369542900	114.343960400	83.6		M009	
W	22.366818800	114.346563700	89.8		M010	
W	22.363249100	114.349413000	131.3		M011	
W	22.361471900	114.353105600	85.4		M012	
W	22.363510300	114.355428200	94.9		M013	
W	22.361894600	114.358733800	88.6		M014	
W	22.359037900	114.361889600	83.8		M015	
W	22.359675200	114.366127000	64.8		M016	
W	22.360391400	114.370276500	73.9		M017	
W	22.363483900	114.372210100	53.9		M018	
W	22.366973700	114.374134000	82.1		M019	
W	22.370124500	114.374686400	98.1		M020	
W	22.373944800	114.374929400	6.1		M021	
W	22.376668900	114.376466900	8.9		M022	
W	22.379069800	114.379932300	125.3		M023	
W	22.383411700	114.378239000	245.7		M024	
W	22.386457300	114.377992300	301.5		M025	
W	22.389572200	114.375857200	250.9		M026	
W	22.389641700	114.372960400	206.8		M027	
W	22.387250900	114.368304100	168.2		M028	
W	22.390038100	114.366444400	122.4		M029	
W	22.392034100	114.368002000	21.5		M030	
W	22.398032100	114.370801900	8.0		M031	
W	22.400477000	114.369773400	15.7		M032	
W	22.401271000	114.371396600	26.9		M033	
W	22.403668500	114.372185200	64.5		M034	
W	22.407201100	114.374048300	35.9		M035	
W	22.411011500	114.374341900	3.1		M036	
W	22.414647200	114.372234300	5.8		M037	
W	22.418396400	114.371205200	26.9		M038	
W	22.419272800	114.367734200	88.6		M039	
W	22.420692400	114.364686100	117.1		M040	
W	22.421334700	114.360475200	54.1		M041	
W	22.421628700	114.356386000	20.3		M042	
W	22.422004800	114.352338900	9.8		M043	
W	22.421585800	114.348677200	4.6		M044	
W	22.423194700	114.344936800	45.9		M045	
W	22.424891500	114.341527600	95.6		M046	
W	22.424969100	114.337452400	128.9		M047	
W	22.422281300	114.333497900	135.6		M048	
W	22.420897800	114.331117900	166.4		M049	
W	22.422563000	114.329521000	273.3		M050	
W	22.422186200	114.324136000	398.2		M051	
W	22.422764800	114.320338300	380.3		M052	
W	22.424945600	114.317173400	373.5		M053	
W	22.428580800	114.309804900	306.2		M055	
W	22.428045200	114.306970800	316.7		M056	
W	22.424823500	114.307567700	332.9		M057	
W	22.422425000	114.306507200	331.2		M058	
W	22.415887700	114.304892300	232.5		M060	
W	22.415278800	114.301170700	225.7		M061	
W	22.415940300	114.290227000	372.9		M064	
W	22.413026000	114.287578900	336.7		M065	
W	22.410308700	114.287103900	300.7		M066	
W	22.410161300	114.283125800	251.8		M067	
W	22.405432600	114.280818200	111.0		M068	
W	22.403522600	114.279459600	78.8		M069	
W	22.402179800	114.275551200	143.0		M070	
W	22.399811900	114.273456300	187.4		M071	
W	22.398428800	114.270564200	233.7		M072	
W	22.401506400	114.268396700	239.3		M073	
W	22.402591400	114.264296400	217.4		M074	
W	22.404814700	114.262838900	306.1		M075	
W	22.406768000	114.260134400	368.5		M076	
W	22.407047500	114.255125100	462.9		M077	
W	22.405417600	114.252647000	547.5		M078	
W	22.403021700	114.253116500	543.4		M079	
W	22.399214500	114.252813900	464.4		M080	
W	22.396635600	114.249706600	408.7		M081	
W	22.393474700	114.252027600	388.3		M082	
W	22.389699800	114.251201700	384.4		M083	
W	22.387926600	114.246999200	361.7		M084	
W	22.384379000	114.247048900	330.6		M085	
W	22.379748100	114.244523500	347.9		M086	
W	22.378096300	114.242313400	379.9		M087	
W	22.374663600	114.239212800	446.6		M088	
W	22.372986700	114.235770900	468.4		M089	
W	22.370939900	114.232350900	420.2		M090	
W	22.370589200	114.227721700	356.1		M091	
W	22.367421000	114.226048500	357.9		M092	
W	22.363968300	114.223688100	412.5		M093	
W	22.361274600	114.220901200	422.0		M094	
W	22.360483000	114.218658200	393.7		M095	
W	22.359529600	114.214361700	401.0		M096	
W	22.358250400	114.213233200	471.5		M097	
W	22.355630100	114.212719300	450.7		M098	
W	22.355241000	114.208298700	392.0		M099	
W	22.354359700	114.203213100	349.3		M100	
W	22.355420300	114.199588600	296.7		M101	
W	22.355485700	114.197592100	338.6		M102	
W	22.356541200	114.192476100	390.5		M103	
W	22.354911500	114.188804800	350.8		M104	
W	22.353888200	114.184224000	361.5		M105	
W	22.352439600	114.182202300	321.5		M106	
W	22.350043900	114.178180100	337.6		M107	
W	22.350187400	114.173756600	345.8		M108	
W	22.349666400	114.169322400	441.2		M109	
W	22.348881700	114.166022200	346.3		M110	
W	22.350186000	114.162007700	222.2		M111	
W	22.349512000	114.159419000	242.2		M112	
W	22.349759100	114.157476300	231.2		M113	
W	22.349813700	114.154533900	191.9		M114	
W	22.348107700	114.153724800	183.7		M115	
W	22.351957200	114.153815400	146.8		M116	
W	22.354653600	114.151894900	161.3		M117	
W	22.357883400	114.151001800	194.1		M118	
W	22.361894400	114.150146100	239.7		M119	
W	22.365716800	114.150733500	270.0		M120	
W	22.368270200	114.149368500	230.1		M121	
W	22.370805100	114.147106000	240.0		M122	
W	22.373684000	114.144999200	264.3		M123	
W	22.376921500	114.144737600	229.0		M124	
W	22.377955900	114.146316000	202.0		M125	
W	22.380466500	114.149798700	216.3		M126	
W	22.381693700	114.154010400	338.5		M127	
W	22.384568200	114.157099700	430.9		M128	
W	22.387685900	114.161028200	463.0		M129	
W	22.391616300	114.163693800	358.7		M130	
W	22.393924500	114.167697600	407.7		M131	
W	22.398106000	114.166847200	427.3		M132	
W	22.401335800	114.167714100	488.8		M133	
W	22.404980700	114.167692200	548.6		M134	
W	22.408939900	114.165243400	571.8		M135	
W	22.411631800	114.163691500	575.9		M136	
W	22.412335900	114.159758700	430.3		M137	
W	22.412424800	114.155968800	456.3		M138	
W	22.413914000	114.151568200	602.2		M139	
W	22.416158300	114.148323300	648.8		M140	
W	22.415929700	114.144039200	689.8		M141	
W	22.417355500	114.139357500	740.1		M142	
W	22.416761000	114.134429500	748.6		M143	
W	22.416612100	114.130321900	726.7		M144	
W	22.416403700	114.126898500	773.7		M145	
W	22.413897300	114.123946400	865.1		M146	
W	22.411320700	114.125456900	908.4		M147	
W	22.408380600	114.124219000	884.8		M148	
W	22.407879900	114.123786300	855.5		M149	
W	22.407214700	114.122098300	795.2		M150	
W	22.408438800	114.121582000	768.3		M151	
W	22.411431100	114.118864300	704.2		M152	
W	22.410228900	114.115653200	639.0		M153	
W	22.408382000	114.111699100	636.1		M154	
W	22.407354400	114.107577500	552.3		M155	
W	22.406680400	114.105241800	467.8		M156	
W	22.407511400	114.102185700	496.3		M157	
W	22.405025400	114.098425500	486.6		M158	
W	22.401968600	114.095871400	502.8		M159	
W	22.399442300	114.092295100	527.7		M160	
W	22.401415400	114.089094500	504.0		M161	
W	22.401229100	114.084658600	416.1		M162	
W	22.398531700	114.081991500	387.7		M163	
W	22.396824700	114.078026200	383.0		M164	
W	22.396100000	114.074061600	397.4		M165	
W	22.393368100	114.073441700	326.7		M166	
W	22.392838700	114.069889500	286.5		M167	
W	22.391267800	114.066732500	244.9		M168	
W	22.389915700	114.063338100	224.5		M169	
W	22.393457200	114.061237800	195.8		M170	
W	22.395901300	114.058691700	168.1		M171	
W	22.397584300	114.053341900	107.8		M172	
W	22.397655600	114.049111100	77.3		M173	
