time_start,section,start,time_end,end,dist,duration,pace,timsir,up,down,highest,lowest,
04:00,1,北潭涌,05:30,浪茄,10.1,01:30,6:30/km,3,200,128,134,6,https://timhiking.com/hk/blog.php?d=190613
05:30,2,浪茄,09:00,北潭凹,13.9,03:30,15:00/km,5,648,614,311,0,https://timhiking.com/hk/blog.php?d=190614
09:00,3,北潭凹,11:15,企嶺下,8.9,02:15,15:00/km,3:30,571,628,409,81,https://timhiking.com/hk/blog.php?d=180609
11:15,4,企嶺下,14:30,大老山,12.6,03:15,15:00/km,5,729,482,554,72,https://timhiking.com/hk/blog.php?d=180406
14:30,5,大老山,16:30,大埔道,10.6,02:00,12:00/km,3,444,687,511,161,https://timhiking.com/hk/blog.php?d=180407
16:30,6,大埔道,17:00,城門,4.1,00:30,7:30/km,1.5,206,167,284,117,https://timhiking.com/hk/blog.php?d=180408
17:00,7,城門,18:45,鉛礦坳,7,01:45,15:00/km,3,556,442,622,180,https://timhiking.com/hk/blog.php?d=181003&t=a&s=%E9%BA%A5%E7%90%86%E6%B5%A9%E5%BE%91%E7%AC%AC8%E6%AE%B5
18:45,8,鉛礦坳,21:15,荃錦公路,9.2,02:30,15:00/km,4,557,527,919,392,https://timhiking.com/hk/blog.php?d=190323
21:15,9,荃錦公路,22:00,田夫仔,6.3,00:45,7:30/km,2,314,346,541,227,https://timhiking.com/hk/blog.php?d=190302
22:00,10,田夫仔,00:00,屯門,15.6,02:00,7:30/km,4,275,501,237,10,https://timhiking.com/hk/blog.php?d=190303
00:00,,屯門,,,,,,,,,,,
