type	latitude	longitude	altitude (m)	eos	name	desc
T	22.223567900	114.208600900	85.1		衛奕信徑	赤柱峽道至南涌
T	22.223688900	114.208523500	91.5			
T	22.223810800	114.208587600	95.3			
T	22.224047100	114.208620300	103.8			
T	22.224101400	114.208565000	108.2			
T	22.224352000	114.208366000	126.2			
T	22.224452200	114.208346200	130.9			
T	22.224485700	114.208282400	133.9			
T	22.224520900	114.208275500	135.7			
T	22.224538600	114.208266000	136.7			
T	22.224586100	114.208240500	139.5			
T	22.224617300	114.208258900	140.4			
T	22.224651800	114.208269900	141.7			
T	22.224683400	114.208249600	143.7			
T	22.224706700	114.208210400	145.8			
T	22.224708100	114.208171600	147.0			
T	22.224746500	114.208171400	148.6			
T	22.224756000	114.208110900	150.7			
T	22.224803000	114.208108700	152.6			
T	22.224798200	114.208057900	153.9			
T	22.224900900	114.208003300	159.9			
T	22.224897300	114.207938000	162.1			
T	22.224942900	114.207872200	166.6			
T	22.224983400	114.207837800	169.8			
T	22.225039800	114.207851000	172.0			
T	22.225099500	114.207838700	175.5			
T	22.225102600	114.207719400	179.5			
T	22.225146600	114.207671600	182.6			
T	22.225185600	114.207666200	184.9			
T	22.225241800	114.207680400	187.8			
T	22.225270200	114.207658800	189.7			
T	22.225269700	114.207621300	190.4			
T	22.225278300	114.207576900	191.6			
T	22.225370000	114.207551600	197.4			
T	22.225562900	114.207566400	208.4			
T	22.225704000	114.207539900	215.8			
T	22.225945100	114.207486700	228.3			
T	22.225988000	114.207463200	230.6			
T	22.226011800	114.207450100	231.8			
T	22.226092900	114.207387300	236.3			
T	22.226180100	114.207345400	240.6			
T	22.226212300	114.207315300	242.0			
T	22.226250700	114.207296500	243.5			
T	22.226376300	114.207261800	248.0			
T	22.226439300	114.207254600	249.4			
T	22.226493700	114.207228900	250.3			
T	22.226557900	114.207235800	251.8			
T	22.226625300	114.207237200	253.2			
T	22.226675200	114.207199300	253.5			
T	22.226805400	114.207192200	256.4			
T	22.226901800	114.207191200	258.7			
T	22.226935200	114.207182600	259.2			
T	22.226986500	114.207210300	261.4			
T	22.227056300	114.207209900	262.9			
T	22.227136100	114.207195500	263.8			
T	22.227215900	114.207203000	265.8			
T	22.227288000	114.207230700	267.4			
T	22.227352900	114.207224100	268.3			
T	22.227443000	114.207229500	269.0			
T	22.227512400	114.207203400	269.2			
T	22.227655600	114.207190700	270.0			
T	22.227754100	114.207217300	271.7			
T	22.227979900	114.207214600	274.1			
T	22.228335600	114.207181800	276.7			
T	22.228463500	114.207155800	277.2			
T	22.228608400	114.207071100	279.9			
T	22.228681400	114.207001400	285.8			
T	22.228755100	114.206944400	293.8			
T	22.228961400	114.206916400	306.7			
T	22.229100700	114.206888700	313.7			
T	22.229403100	114.206794300	328.7			
T	22.229655300	114.206677400	343.2			
T	22.229715000	114.206603600	346.4			
T	22.229817400	114.206526800	348.7			
T	22.229828600	114.206483700	349.3			
T	22.229971300	114.206355800	354.9			
T	22.230006600	114.206282000	356.2			
T	22.230197300	114.206158100	363.3			
T	22.230274400	114.206094500	366.5			
T	22.230533700	114.205932200	373.9			
T	22.230598400	114.205866200	373.6			
T	22.230669800	114.205796800	372.0			
T	22.230733700	114.205771600	371.2			
T	22.230793400	114.205789800	371.6			
T	22.230874900	114.205827200	371.5			
T	22.231088700	114.205812000	364.2			
T	22.231211500	114.205845600	365.0			
T	22.231390300	114.205856200	366.1			
T	22.231527500	114.205863300	359.0			
T	22.231630600	114.205921600	353.1			
T	22.231841400	114.205977100	331.3			
T	22.232017000	114.206102000	316.2			
T	22.232190500	114.206273600	309.4			
T	22.232274500	114.206344300	309.2			
T	22.232408200	114.206413300	307.4			
T	22.232513000	114.206443400	306.1			
T	22.232577900	114.206482200	307.7			
T	22.232725100	114.206596300	312.4			
T	22.232904300	114.206735200	314.6			
T	22.233002600	114.206769600	314.8			
T	22.233161900	114.206771700	314.7			
T	22.233283000	114.206759200	314.5			
T	22.233369200	114.206726300	314.9			
T	22.233574800	114.206582100	314.3			
T	22.233645900	114.206567200	314.4			
T	22.234274500	114.206409800	320.0			
T	22.234414300	114.206397500	321.6			
T	22.234531600	114.206415100	323.1			
T	22.234641300	114.206475200	324.4			
T	22.234770900	114.206480500	327.1			
T	22.235206100	114.206441600	341.4			
T	22.235369700	114.206381800	346.9			
T	22.235461400	114.206376100	349.7			
T	22.235573900	114.206409000	352.9			
T	22.235671000	114.206471700	353.0			
T	22.235743000	114.206528200	353.5			
T	22.235789200	114.206544100	354.0			
T	22.235910000	114.206531800	355.2			
T	22.236048200	114.206454900	355.2			
T	22.236055400	114.206452500	355.1			
T	22.236214000	114.206361800	355.5			
T	22.236725100	114.206088400	328.5			
T	22.236844200	114.206002300	314.2			
T	22.237753900	114.205649400	259.8			
T	22.237943700	114.205586900	244.8			
T	22.238082600	114.205524400	235.1			
T	22.238242400	114.205489300	223.7			
T	22.238341900	114.205421800	217.0			
T	22.238486700	114.205388000	209.3			
T	22.238624400	114.205306800	203.7			
T	22.238913800	114.205261700	188.7			
T	22.239105900	114.205184200	173.8			
T	22.239256700	114.205185000	167.0			
T	22.239722600	114.205025600	156.2			
T	22.239920900	114.204924100	150.9			
T	22.240072100	114.204793500	147.3			
T	22.240175900	114.204679100	144.8			
T	22.240557500	114.204476400	140.1			
T	22.240968900	114.204299900	137.8			
T	22.240978500	114.204283600	137.8			
T	22.241039100	114.204181200	137.9			
T	22.241045700	114.204133800	138.6			
T	22.241062200	114.204016100	140.9			
T	22.241072500	114.203825400	144.2			
T	22.241128500	114.203743400	146.5			
T	22.241643500	114.203347300	170.8			
T	22.241823200	114.203274900	177.4			
T	22.241943500	114.203256400	181.8			
T	22.242066000	114.203192100	186.0			
T	22.242224300	114.203086800	192.5			
T	22.242285600	114.202966300	195.8			
T	22.242270300	114.202873800	197.0			
T	22.242293800	114.202780600	198.7			
T	22.242239600	114.202615000	200.6			
T	22.242195700	114.202520600	200.6			
T	22.242239400	114.202435500	202.9			
T	22.242342900	114.202347400	206.7			
T	22.242442000	114.202281200	210.8			
T	22.242514700	114.202198800	214.9			
T	22.242534100	114.202042800	219.9			
T	22.242573700	114.201944100	224.1			
T	22.242579800	114.201837300	228.6			
T	22.242600500	114.201738300	233.4			
T	22.242577100	114.201630400	236.2			
T	22.242637600	114.201565400	240.3			
T	22.242693300	114.201433100	246.0			
T	22.242771700	114.201343200	252.0			
T	22.242820100	114.201288300	254.5			
T	22.242863200	114.201251300	256.2			
T	22.242836100	114.201102900	260.1			
T	22.242805600	114.200954500	264.4			
T	22.242764600	114.200871500	266.0			
T	22.242705600	114.200798200	265.6			
T	22.242659000	114.200705100	267.4			
T	22.242667800	114.200638600	271.2			
T	22.242629800	114.200601400	270.7			
T	22.242654300	114.200581800	273.2			
T	22.242658700	114.200543900	275.1			
T	22.242628700	114.200504600	274.7			
T	22.242620700	114.200466300	275.7			
T	22.242630500	114.200435800	277.4			
T	22.242632000	114.200404700	278.6			
T	22.242611800	114.200364500	279.0			
T	22.242636000	114.200332100	281.4			
T	22.242641700	114.200309400	282.5			
T	22.242634500	114.200275700	283.4			
T	22.242621800	114.200244300	284.3			
T	22.242666400	114.200188500	288.9			
T	22.242727400	114.200119700	294.7			
T	22.242773000	114.200039300	300.1			
T	22.242809500	114.199961600	301.1			
T	22.242737100	114.199892900	300.2			
T	22.242718700	114.199807000	299.7			
T	22.242729400	114.199710700	299.7			
T	22.242752300	114.199600500	299.0			
T	22.242837200	114.199475400	298.3			
T	22.242911400	114.199444900	298.5			
T	22.242970800	114.199443400	298.7			
T	22.243056000	114.199423500	299.1			
T	22.243161400	114.199355700	298.6			
T	22.243207400	114.199271700	300.8			
T	22.243264600	114.199157200	305.6			
T	22.243290900	114.199054800	307.1			
T	22.243325900	114.199015900	308.4			
T	22.243443700	114.198967600	309.9			
T	22.243587400	114.198864000	312.1			
T	22.243701200	114.198785500	311.3			
T	22.243821900	114.198767800	312.4			
T	22.243999000	114.198804900	314.9			
T	22.244144500	114.198797000	317.0			
T	22.244428900	114.198706500	326.1			
T	22.244614500	114.198686900	333.1			
T	22.244804700	114.198737500	339.1			
T	22.244835600	114.198741400	340.2			
T	22.244963200	114.198722600	345.6			
T	22.245025300	114.198721100	347.9			
T	22.245102100	114.198734600	350.5			
T	22.245234200	114.198794200	354.1			
T	22.245476400	114.198899800	360.0			
T	22.245607000	114.198910000	364.3			
T	22.245701300	114.198985200	364.9			
T	22.245839400	114.199015400	368.8			
T	22.246004700	114.199058600	371.9			
T	22.246057700	114.199073100	373.0			
T	22.246189600	114.199061200	376.7			
T	22.246228300	114.199087400	376.3			
T	22.246248200	114.199100700	376.1			
T	22.246349100	114.199118000	377.0			
T	22.246483500	114.199124000	379.5			
T	22.246572500	114.199055500	384.8			
T	22.246770500	114.199153700	384.1			
T	22.246842100	114.199163200	384.7			
T	22.246914700	114.199161300	385.8			
T	22.247021000	114.199215700	386.5			
T	22.247107400	114.199209800	389.2			
T	22.247186000	114.199212800	391.4			
T	22.247231700	114.199234100	392.1			
T	22.247486900	114.199201900	399.5			
T	22.247624300	114.199175500	401.7			
T	22.247689900	114.199182100	402.1			
T	22.247759800	114.199177000	402.7			
T	22.247801400	114.199183500	402.5			
T	22.247832400	114.199207800	402.0			
T	22.247899100	114.199343500	400.8			
T	22.248004600	114.199526900	403.7			
T	22.248124700	114.199749000	411.5			
T	22.248183000	114.199814800	412.4			
T	22.248450700	114.199871100	417.5			
T	22.248620000	114.199923300	419.8			
T	22.248676200	114.199994000	420.7			
T	22.248739800	114.200052600	419.2			
T	22.248972000	114.200066600	420.4			
T	22.249186600	114.200095100	418.7			
T	22.249329500	114.200083700	414.1			
T	22.249559300	114.200022600	406.4			
T	22.249676400	114.199949300	403.1			
T	22.249961700	114.199869300	405.4			
T	22.250102400	114.199813600	406.9			
T	22.250200000	114.199716300	409.4			
T	22.250386400	114.199665300	405.8			
T	22.250719700	114.199680300	393.0			
T	22.250725100	114.199674600	392.9			
T	22.250860200	114.199593300	389.1			
T	22.250985400	114.199552400	386.2			
T	22.251117200	114.199509300	382.6			
T	22.251207900	114.199441200	380.1			
T	22.251429400	114.199487500	373.6			
T	22.251589600	114.199462300	367.8			
T	22.251802500	114.199534900	358.5			
T	22.252071100	114.199554900	346.9			
T	22.252173400	114.199603100	343.5			
T	22.252446100	114.199780000	339.1			
T	22.252522900	114.199817700	337.7			
T	22.253142600	114.199886300	326.5			
T	22.253513900	114.199794200	325.6			
T	22.253748500	114.199623200	328.8			
T	22.253983700	114.199496700	331.7			
T	22.254170300	114.199457800	331.8			
T	22.254212600	114.199387900	330.4			
T	22.254290500	114.199354700	328.2			
T	22.254437700	114.199263400	323.9			
T	22.254542800	114.199141600	320.8			
T	22.254634000	114.199056700	319.2			
