type	latitude	longitude	altitude (m)	eos	name	desc
W	22.227068200	114.207178900	261.7		W001	
W	22.230685500	114.205733800	370.2		W002	
W	22.236204400	114.206318500	354.7		W003	
W	22.240908600	114.204337900	138.1		W004	
W	22.242162300	114.202491800	199.5		W005	
W	22.242709500	114.199965900	299.4		W006	
W	22.248961100	114.200041800	421.0		W007	
W	22.254950600	114.198612300	317.6		W008	
W	22.260531300	114.197814400	310.1		W009	
W	22.264967400	114.197675000	397.0		W010	
W	22.266400100	114.199877800	388.0		W011	
W	22.267519700	114.203102400	295.0		W012	
W	22.269174600	114.207431900	392.1		W013	
W	22.272173000	114.206895500	405.6		W014	
W	22.277377800	114.205998300	284.2		W015	
W	22.280245700	114.207137400	202.6		W016	
W	22.278060200	114.210873800	132.4		W017	
W	22.279392300	114.213139900	84.1		W018	
W	22.295145100	114.241278400	35.9		W019	
W	22.290564000	114.241280300	112.7		W020	
W	22.293181700	114.244417900	169.6		W021	
W	22.296825100	114.245473900	166.5		W022	
W	22.300283700	114.243790700	139.5		W023	
W	22.302460700	114.244001700	158.9		W024	
W	22.309440400	114.244511500	282.5		W025	
W	22.313261900	114.246306300	228.1		W026	
W	22.317676100	114.245646700	159.2		W027	
W	22.322114700	114.245826800	146.5		W028	
W	22.326272400	114.245730100	156.7		W029	
W	22.330553700	114.244304100	164.0		W030	
W	22.333064900	114.240813800	196.0		W031	
W	22.335531500	114.237073800	195.7		W032	
W	22.338505300	114.235250200	237.9		W033	
W	22.343808600	114.233276300	158.7		W034	
W	22.346525500	114.234946600	108.1		W035	
W	22.350639800	114.234242400	110.3		W036	
W	22.351797500	114.234757400	122.3		W037	
W	22.355117400	114.229921300	315.6		W038	
W	22.357467700	114.225668600	475.7		W039	
W	22.356741200	114.222092300	474.1		W040	
W	22.353223800	114.220991300	531.3		W041	
W	22.356249200	114.219228800	547.0		W042	
W	22.355813200	114.215141300	485.5		W043	
W	22.355372000	114.210175100	419.5		W044	
W	22.354675900	114.206915100	387.1		W045	
W	22.354436700	114.202450200	326.5		W046	
W	22.356277100	114.199324100	300.5		W047	
W	22.360279300	114.198394700	306.2		W048	
W	22.363697600	114.195420000	282.8		W049	
W	22.365818400	114.192726200	171.4		W050	
W	22.363855600	114.190449400	140.7		W051	
W	22.364454800	114.187146100	141.4		W052	
W	22.362992500	114.184883700	136.9		W053	
W	22.361335400	114.182814800	153.5		W054	
W	22.359769100	114.178278300	147.7		W055	
W	22.356087500	114.177032800	141.0		W056	
W	22.354957000	114.173641100	152.3		W057	
W	22.355536200	114.169457300	160.5		W058	
W	22.355916600	114.165960000	137.7		W059	
W	22.355231800	114.161906800	138.4		W060	
W	22.355110200	114.158074500	141.8		W061	
W	22.358115400	114.158306200	174.3		W062	
W	22.358841400	114.155127700	199.3		W063	
W	22.357948500	114.151713700	180.8		W064	
W	22.361475300	114.152668900	254.1		W065	
W	22.366986800	114.151259200	255.9		W066	
W	22.370172200	114.149659100	300.0		W067	
W	22.371834100	114.148852100	253.4		W068	
W	22.378124700	114.148795000	187.9		W069	
W	22.381086400	114.147628700	191.9		W070	
W	22.384306200	114.148193600	187.0		W071	
W	22.384947300	114.150819000	204.0		W072	
W	22.387506900	114.152117100	195.9		W073	
W	22.389135500	114.153209800	199.5		W074	
W	22.388124000	114.149728200	189.0		W075	
W	22.390820200	114.150540800	193.4		W076	
W	22.394449400	114.153785200	203.7		W077	
W	22.395957200	114.152988900	207.9		W078	
W	22.398724300	114.150765000	226.4		W079	
W	22.400825400	114.152180300	244.1		W080	
W	22.403965400	114.152982200	279.2		W081	
W	22.406319900	114.154909600	315.3		W082	
W	22.410644700	114.156794100	383.7		W083	
W	22.412526300	114.158152400	399.0		W084	
W	22.418410100	114.159219500	286.5		W085	
W	22.422380100	114.159476700	212.1		W086	
W	22.426281800	114.160942000	127.4		W087	
W	22.429422600	114.161959600	92.3		W088	
W	22.433152000	114.163661100	46.1		W089	
W	22.436300700	114.164581100	26.3		W090	
W	22.437207600	114.159380000	108.4		W091	
W	22.437237900	114.156158900	138.3		W092	
W	22.439460600	114.154650800	151.3		W093	
W	22.441543200	114.151426100	175.4		W094	
W	22.444740500	114.149680000	128.6		W095	
W	22.446577700	114.153468000	69.5		W096	
W	22.448478500	114.157522400	7.1		W097	
W	22.452791700	114.156249400	11.9		W098	
W	22.455936500	114.158690000	7.2		W099	
W	22.461193700	114.159805100	105.8		W100	
W	22.462930500	114.162812600	143.1		W101	
W	22.464828400	114.164805300	199.5		W102	
W	22.471832200	114.168677700	293.5		W104	
W	22.475416000	114.169345800	416.7		W105	
W	22.478314500	114.171684500	385.7		W106	
W	22.481832800	114.172314700	341.8		W107	
W	22.485849800	114.172014400	302.6		W108	
W	22.489038200	114.174143700	255.9		W109	
W	22.491964200	114.176521600	249.4		W110	
W	22.491861300	114.178839400	200.2		W111	
W	22.492247100	114.181568500	105.4		W112	
W	22.490343100	114.183421900	104.3		W113	
W	22.489769400	114.185205500	159.8		W114	
W	22.492267200	114.188683600	350.4		W115	
W	22.494696000	114.192387100	456.2		W116	
